DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;CD_PLEITO;DT_PLEITO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;SG_UF;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;NR_SECAO;NR_LOCAL_VOTACAO;CD_CARGO_PERGUNTA;DS_CARGO_PERGUNTA;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;DT_BU_RECEBIDO;QT_APTOS;QT_COMPARECIMENTO;QT_ABSTENCOES;CD_TIPO_URNA;DS_TIPO_URNA;CD_TIPO_VOTAVEL;DS_TIPO_VOTAVEL;NR_VOTAVEL;NM_VOTAVEL;QT_VOTOS;NR_URNA_EFETIVADA;CD_CARGA_1_URNA_EFETIVADA;CD_CARGA_2_URNA_EFETIVADA;CD_FLASHCARD_URNA_EFETIVADA;DT_CARGA_URNA_EFETIVADA;DS_CARGO_PERGUNTA_SECAO;DS_SECOES_AGREGADAS;DT_ABERTURA;DT_ENCERRAMENTO;QT_ELEI_BIOM_SEM_HABILITACAO;DT_EMISSAO_BU;NR_JUNTA_APURADORA;NR_TURMA_APURADORA
09/10/2024;16:36:29;2024;0;Eleição Ordinária;452;06/10/2024 00:00;1;619;Eleições Municipais 2024;AC;1082;RODRIGUES ALVES;4;304;1198;13;Vereador;65;PC do B;Partido Comunista do Brasil;06/10/2024 18:55;193;167;26;1;Apurada;1;Nominal;65000;ALISSON SANTOS;1;2044849;819.625.526.081.438.147.;904.609;05A6C418;25/09/2024 15:17;13 - 304;#NULO#;06/10/2024 06:00;06/10/2024 15:00;4;06/10/2024 15:00;-1;-1
09/10/2024;16:36:29;2024;0;Eleição Ordinária;452;06/10/2024 00:00;1;619;Eleições Municipais 2024;AC;1392;RIO BRANCO;1;699;3468;13;Vereador;15;MDB;Movimento Democrático Brasileiro;06/10/2024 18:22;337;241;96;1;Apurada;1;Nominal;15000;EBER MACHADO;2;2290031;085.519.248.175.308.797.;673.293;906D9C02;28/09/2024 08:18;13 - 699;#NULO#;06/10/2024 06:00;06/10/2024 15:04;9;06/10/2024 15:06;-1;-1
09/10/2024;16:36:29;2024;0;Eleição Ordinária;452;06/10/2024 00:00;1;619;Eleições Municipais 2024;AC;1392;RIO BRANCO;9;36;1074;13;Vereador;15;MDB;Movimento Democrático Brasileiro;06/10/2024 18:29;342;247;95;1;Apurada;1;Nominal;15000;EBER MACHADO;2;2293927;802.779.678.641.777.912.;184.738;E811B9FA;28/09/2024 17:15;13 - 36;#NULO#;06/10/2024 06:00;06/10/2024 15:00;24;06/10/2024 15:02;-1;-1
09/10/2024;16:36:29;2024;0;Eleição Ordinária;452;06/10/2024 00:00;1;619;Eleições Municipais 2024;AC;1392;RIO BRANCO;9;372;2232;13;Vereador;15;MDB;Movimento Democrático Brasileiro;06/10/2024 17:23;310;223;87;1;Apurada;1;Nominal;15000;EBER MACHADO;3;2261614;257.224.232.132.326.415.;148.400;E7DEF5B6;29/09/2024 08:32;13 - 372;#NULO#;06/10/2024 06:26;06/10/2024 15:03;15;06/10/2024 15:04;-1;-1
09/10/2024;16:36:29;2024;0;Eleição Ordinária;452;06/10/2024 00:00;1;619;Eleições Municipais 2024;AC;1392;RIO BRANCO;9;378;2267;13;Vereador;15;MDB;Movimento Democrático Brasileiro;06/10/2024 18:21;343;262;81;1;Apurada;1;Nominal;15000;EBER MACHADO;3;2267891;085.507.723.315.067.262.;738.727;E7DEF5B6;29/09/2024 08:22;13 - 378;#NULO#;06/10/2024 06:00;06/10/2024 15:02;11;06/10/2024 15:03;-1;-1
09/10/2024;16:36:29;2024;0;Eleição Ordinária;452;06/10/2024 00:00;1;619;Eleições Municipais 2024;AC;1392;RIO BRANCO;1;507;2836;13;Vereador;15;MDB;Movimento Democrático Brasileiro;06/10/2024 17:55;319;210;109;1;Apurada;1;Nominal;15000;EBER MACHADO;4;2294251;499.660.719.409.879.344.;452.177;1E977BD0;28/09/2024 08:29;13 - 507;#NULO#;06/10/2024 06:00;06/10/2024 15:05;7;06/10/2024 15:07;-1;-1
09/10/2024;16:36:29;2024;0;Eleição Ordinária;452;06/10/2024 00:00;1;619;Eleições Municipais 2024;AC;1392;RIO BRANCO;9;207;1422;13;Vereador;15;MDB;Movimento Democrático Brasileiro;06/10/2024 18:00;356;267;89;1;Apurada;1;Nominal;15000;EBER MACHADO;2;2266191;408.739.350.711.382.950.;409.278;B14E298A;29/09/2024 08:22;13 - 207;#NULO#;06/10/2024 06:00;06/10/2024 15:01;6;06/10/2024 15:04;-1;-1
09/10/2024;16:36:29;2024;0;Eleição Ordinária;452;06/10/2024 00:00;1;619;Eleições Municipais 2024;AC;1392;RIO BRANCO;9;102;1619;13;Vereador;15;MDB;Movimento Democrático Brasileiro;06/10/2024 18:03;326;267;59;1;Apurada;1;Nominal;15000;EBER MACHADO;7;2254352;024.901.331.933.980.882.;753.036;1FBFF0E6;28/09/2024 14:37;13 - 102;#NULO#;06/10/2024 06:00;06/10/2024 15:00;6;06/10/2024 15:03;-1;-1
09/10/2024;16:36:29;2024;0;Eleição Ordinária;452;06/10/2024 00:00;1;619;Eleições Municipais 2024;AC;1392;RIO BRANCO;1;151;1066;13;Vereador;15;MDB;Movimento Democrático Brasileiro;06/10/2024 17:50;235;161;74;1;Apurada;1;Nominal;15000;EBER MACHADO;3;2256647;913.802.468.139.228.225.;768.120;F7829F6A;27/09/2024 09:19;13 - 151;#NULO#;06/10/2024 06:00;06/10/2024 15:02;10;06/10/2024 15:05;-1;-1
09/10/2024;16:36:29;2024;0;Eleição Ordinária;452;06/10/2024 00:00;1;619;Eleições Municipais 2024;AC;1392;RIO BRANCO;9;404;2020;13;Vereador;15;MDB;Movimento Democrático Brasileiro;06/10/2024 18:04;336;248;88;1;Apurada;1;Nominal;15000;EBER MACHADO;4;2261772;570.456.370.828.608.414.;663.251;91C7D351;29/09/2024 08:14;13 - 404;#NULO#;06/10/2024 06:00;06/10/2024 15:01;6;06/10/2024 15:01;-1;-1
09/10/2024;16:36:29;2024;0;Eleição Ordinária;452;06/10/2024 00:00;1;619;Eleições Municipais 2024;AC;1392;RIO BRANCO;1;171;1490;13;Vereador;15;MDB;Movimento Democrático Brasileiro;06/10/2024 17:49;196;158;38;1;Apurada;1;Nominal;15000;EBER MACHADO;2;2263134;853.296.548.633.138.236.;264.910;F7829F6A;27/09/2024 11:42;13 - 171;#NULO#;06/10/2024 06:00;06/10/2024 15:01;7;06/10/2024 15:03;-1;-1
09/10/2024;16:36:29;2024;0;Eleição Ordinária;452;06/10/2024 00:00;1;619;Eleições Municipais 2024;AC;1392;RIO BRANCO;9;241;1627;13;Vereador;15;MDB;Movimento Democrático Brasileiro;06/10/2024 17:54;330;254;76;1;Apurada;1;Nominal;15000;EBER MACHADO;4;2256088;368.335.933.741.349.957.;677.440;17CC704C;29/09/2024 08:22;13 - 241;#NULO#;06/10/2024 06:00;06/10/2024 15:04;4;06/10/2024 15:06;-1;-1
09/10/2024;16:36:29;2024;0;Eleição Ordinária;452;06/10/2024 00:00;1;619;Eleições Municipais 2024;AC;1392;RIO BRANCO;9;406;1902;13;Vereador;15;MDB;Movimento Democrático Brasileiro;06/10/2024 17:53;316;254;62;1;Apurada;1;Nominal;15000;EBER MACHADO;21;2279757;327.931.348.903.377.163.;938.296;91C7D351;29/09/2024 08:23;13 - 406;#NULO#;06/10/2024 06:00;06/10/2024 15:06;10;06/10/2024 15:09;-1;-1
